,name,review,bookmark,smile,sad,address,district,cuisine,dish,Latitude,Longitude,Easting,Northing
75,韓台站,50.0,661,15.0,4.0,"Shop G118, Yiu On Shopping Centre, 2 Hang Hong Street,",Ma On Shan,Korean Fried Chicken,Taiwan,22.42041,114.23039,841777,831231
76,Dodam Chicken (1亞太中心),5.0,626,5.0,0.0,"Shop 1, 3/F, One Pacific Centre,, 414 Kwun Tong Road,",Kwun Tong,Korean Fried Chicken,Korean,22.31267,114.22462,841187,819299
77,Little Seoul,9.0,190,7.0,0.0,"Shop P1, G/F, Park Island Pier,",Ma Wan,Korean Fried Chicken,Korean,22.28838,114.1566,834179,816609
78,咯咯雞韓食店,4.0,539,3.0,0.0,"G/F, 20A Ashley Road,",Tsim Sha Tsui,Korean Fried Chicken,Korean,22.29721,114.17067,835629,817587
79,친구네韓國料理,8.0,199,5.0,0.0,"Shop 47B2, G/F, Phase 2, Mei Foo Sun Chuen, 11 Glee Path,",Mei Foo,Korean Fried Chicken,Korean,22.33665,114.13955,832423,821955
80,E-Mo Korean Restaurant,37.0,521,9.0,5.0,"Shop 1, 1/F, Waldof Shopping Arcade, 1 Tuen Lee Street,",Tuen Mun,Korean Fried Chicken,Korean,22.39183,113.97804,815793,828078
81,Chicken Pocha LCK,9.0,378,7.0,0.0,"G/F, 574 Fuk Wa Street,",Sham Shui Po,Korean Fried Chicken,Korean,22.3393,114.15251,833758,822248
82,K-FC Dak's 韓宮炸雞,20.0,855,11.0,1.0,"G/F, 18-20 Man Siu Street,",Hung Hom,Korean Fried Chicken,Korean,22.30606,114.18854,837470,818567
83,Live Cafe Rhythm,5.0,685,4.0,0.0,"Shop B, 3/F, Tat Lee Commercial Building, 43D Dundas Street,",Mong Kok,Korean Fried Chicken,Western,22.31558,114.17094,835657,819621
84,KB Express 韓堡,4.0,66,2.0,0.0,"Shop 128C, 1/F, 梨木樹商場, 389 Wo Yi Hop Road,",Tsuen Wan,Korean Fried Chicken,Korean,22.36555,114.13669,832129,825155
85,韓米Miso (良景商埸),2.0,302,2.0,0.0,"Shop 125, Leung King Market, G/F, Leung King Plaza, 31 Tin King Road,",Tuen Mun,Korean Fried Chicken,Korean,22.40634,113.96271,814216,829687
86,ChumChummi,4.0,195,2.0,0.0,"Shop G2, Food Loft, G/F, Park Aura, 54 Electric Road,",Tin Hau,Korean Fried Chicken,Korean,22.28536,114.19175,837801,816275
87,Daily K food,2.0,102,2.0,0.0,"Shop 18C, G/F, Chevalier Garden Shopping Centre, 2 Hang Shun Street,",Ma On Shan,Korean Fried Chicken,Korean,22.40497,114.22333,841051,829520
88,Seoul Recipe (太古廣場),2.0,92,2.0,0.0,"Great Food Hall, LG/F, Two Pacific Place, 88 Queensway,",Admiralty,Korean Fried Chicken,Korean,22.2772,114.16442,834985,815371
89,Goobne Chicken,2.0,158,1.0,0.0,"Shop LG45-50, LG/F, East Pavilion, 1010-1026 King's Road,",Quarry Bay,Korean Fried Chicken,Korean,22.28454,114.21196,839884,816185
90,Dosirak House,5.0,247,4.0,1.0,"Shop 6B, Caribbean Square, 1 King Tung Road,",Tung Chung,Korean Fried Chicken,Korean,22.29194,113.94881,812766,817021
91,Goobne Chicken (屯門時代廣場),2.0,280,2.0,0.0,"Shop 45-46, 1/F, North Wing, The Trend Plaza, 2 Tuen Lung Street,",Tuen Mun,Korean Fried Chicken,Korean,22.39337,113.97583,815565,828249
92,Ssoja Toast & Hotdog (環海東岸),2.0,258,1.0,0.0,"Soda Mall, G/F, Upper East, 23 Sung On Street,",Hung Hom,Korean Fried Chicken,Korean,22.28126,114.22111,840827,815822
93,Seoul Recipe (翠文樓),7.0,122,3.0,2.0,"LG/F, Chui Man House, 7 Staunton Street,",Central,Korean Fried Chicken,Korean,22.28185,114.15309,833816,815886
94,韓食味家,3.0,118,1.0,1.0,"East Wing, G/F, TKO Gateway, 2 Sheung Ning Road,",Tseung Kwan O,Korean Fried Chicken,Korean,22.31877,114.26482,845329,819977
95,O'taste,1.0,208,1.0,0.0,"Shop G12, G/F, The Forest, 17 Nelson Street,",Mong Kok,Korean Fried Chicken,Korean,22.3191,114.17147,835711,820011
96,Three Bros Chicken Pocha,19.0,136,2.0,4.0,"G/F, 4 Sam Pei Square,",Tsuen Wan,Korean Fried Chicken,Korean,22.3692,114.11687,830088,825560
97,Mami Cook,4.0,113,2.0,0.0,"Shop 2, G/F, 6-10 Hau Wong Road,",Kowloon City,Korean Fried Chicken,Korean,22.3282,114.18885,837502,821019
98,Yadllie Plate,1235.0,80549,944.0,52.0,"11/F, CTMA Centre, 1 Sai Yeung Choi Street,",Mong Kok,Korean Fried Chicken,Korean,22.31578,114.17057,835619,819643
99,Dodam Chicken (利舞臺廣場),1080.0,41429,912.0,22.0,"18/F., Shop A, Lee Theatre Plaza, 99 Percival Street,",Causeway Bay,Korean Fried Chicken,Korean,22.2783,114.18316,836916,815493
100,Outdark (厚福街),658.0,36973,544.0,14.0,"17/F, H8, 8 Hau Fook Street,",Tsim Sha Tsui,Korean Fried Chicken,Korean,22.29958,114.17455,836028,817849
101,Sodam Chicken,1330.0,57055,1018.0,66.0,"7/F, 3 Yiu Wa Street, Bartlock Centre,",Causeway Bay,Korean Fried Chicken,Korean,22.2777,114.1822,836817,815426
102,Bingo & Cook,1148.0,34010,991.0,22.0,"2/F, L'Hart, 487-489 Lockhart Road,",Causeway Bay,Korean Fried Chicken,Korean,22.28077,114.18278,836877,815766
103,Goobne Chicken (The Hart),836.0,48028,636.0,20.0,"2/F, The HART, 4 Hart Avenue,",Tsim Sha Tsui,Korean Fried Chicken,Korean,22.29795,114.17465,836039,817669
104,Goobne Chicken (V Point ),588.0,16091,503.0,13.0,"25/F, V Point, 18 Tang Lung Street,",Causeway Bay,Korean Fried Chicken,Korean,22.27911,114.18164,836759,815583
105,Goobne Chicken (瓊華中心),766.0,33548,564.0,23.0,"15/F, King Wah Centre, 628 Nathan Road,",Mong Kok,Korean Fried Chicken,Korean,22.31781,114.16991,835551,819868
106,Wingman (閣麟街),296.0,10225,270.0,1.0,"6/F, Cheung Hing Commercial Building, 37-43 Cochrane Street,",Central,Korean Fried Chicken,Western,22.28276,114.15394,833905,815987
107,Pizza Maru,397.0,17753,298.0,6.0,"Shop 1302, 13/F, Hysan Place, 500 Hennessy Road,",Causeway Bay,Korean Fried Chicken,Korean,22.27969,114.18385,836987,815647
108,My Ahjussi,205.0,5514,194.0,1.0,"G/F, 39 Tai Tsun Street,",Tai Kok Tsui,Korean Fried Chicken,Korean,22.32179,114.16107,834640,820309
109,Wingman (船街),220.0,5688,204.0,2.0,"G/F, 33 Ship Street,",Wan Chai,Korean Fried Chicken,Western,22.27555,114.17029,835590,815189
110,Goobne Chicken (威靈頓街),341.0,22729,284.0,10.0,"5/F, M88, Wellington Place, 2-8 Wellington Street,",Central,Korean Fried Chicken,Korean,22.28076,114.15602,834119,815766
111,Chicken HOF & SOJU (Hillwood Road) 李家 (山林道),184.0,5075,176.0,0.0,"Shop 2, G/F, The Leader Commercial Building, 54-56 Hillwood Road,",Tsim Sha Tsui,Korean Fried Chicken,Korean,22.3027,114.17463,836036,818195
112,NeNe Chicken (朗豪坊),549.0,13687,299.0,61.0,"Shop 30, 11/F, Lang Ham Place, 8 Argyle Street,",Mong Kok,Korean Fried Chicken,Korean,22.31883,114.16849,835404,819980
113,Korean Loft Cafe 韓閣,187.0,5367,140.0,12.0,"Shop G4-6, G/F, Foo Yu Building, 275 Castle Peak Road,",Tsuen Wan,Korean Fried Chicken,Korean,22.37315,114.11631,830031,825997
114,Goobne Chicken (荃新天地),362.0,10089,282.0,9.0,"Shop G29, G/F, Citywalk 1, 1 Yeung Uk Road,",Tsuen Wan,Korean Fried Chicken,Korean,22.37,114.11431,829824,825648
115,Pizza Maru,165.0,4103,150.0,2.0,"Shop 28&30, UG/F, Citywalk 1, 1 Yeung Uk Road,",Tsuen Wan,Korean Fried Chicken,Korean,22.37,114.11431,829824,825648
116,Korean Loft Cafe 韓閣,140.0,2615,110.0,6.0,"Shop 1015, MCP Central, 8 Yan King Road,",Tseung Kwan O,Korean Fried Chicken,Korean,22.32319,114.2582,844647,820466
117,Jjigae Korean Style Restaurant 牛知己,224.0,8100,176.0,11.0,"Shop 26-27, G/F, Yuccie Square, 38 On Ning Road,",Yuen Long,Korean Fried Chicken,Korean,22.44732,114.02769,820912,834217
118,Mr. Iron 熨烤達人,307.0,6212,209.0,23.0,"Shop 320B, 3/F, Plaza Hollywood, 3 Lung Poon Street,",Diamond Hill,Korean Fried Chicken,Korean,22.3407,114.20197,838853,822403
119,Red Chicken 紅雞,295.0,12423,184.0,17.0,"Shop B, UG, Pacific Building, 65-67B  Kimberley Road,",Tsim Sha Tsui,Korean Fried Chicken,Korean,22.30141,114.17495,836070,818052
120,Dalin Pocha 達人包車,285.0,20450,182.0,5.0,"78-81 Kimberley Road,",Tsim Sha Tsui,Korean Fried Chicken,Korean,22.30196,114.17564,836141,818113
121,Goobne Chicken (天晉匯),207.0,6177,155.0,11.0,"Shop 119A, 1/F, Pop Walk II, 19 Tong Yin Street,",Tseung Kwan O,Korean Fried Chicken,Korean,22.3054,114.25955,844787,818496
