,Latitude,Longitude,Easting,Northing
343,22.28295,114.15267,833774,816008
344,22.45262,114.16947,835506,834797
345,22.27499,114.1722,835787,815126
346,22.29067,114.20318,838979,816863
347,22.28486,114.1441,832890,816220
348,22.30804,114.17183,835748,818786
349,22.27788,114.18638,837247,815447
350,22.32011,114.16959,835518,820123
351,22.33613,114.14755,833247,821897
352,22.30169,114.17573,836151,818083
353,22.46244,113.99786,817843,835895
354,22.36867,114.13304,831754,825500
355,22.36902,114.12233,830650,825540
356,22.32272,114.18833,837449,820412
357,22.32758,114.16303,834841,820950
358,22.45216,114.16409,834952,834746
359,22.32015,114.16179,834713,820127
360,22.45387,114.16481,835026,834934
361,22.265,114.2353,842290,814021
362,22.28584,113.9427,812135,816346
363,22.28636,114.2187,840578,816386
364,22.26268,114.24875,843676,813765
365,22.28814,114.21141,839827,816583
366,22.3581,114.12762,831195,824330
367,22.38541,114.20466,839129,827354
368,22.28486,114.1441,832890,816220
369,22.42041,114.23039,841777,831231
370,22.31267,114.22462,841187,819299
371,22.28838,114.1566,834179,816609
372,22.29721,114.17067,835629,817587
373,22.33665,114.13955,832423,821955
374,22.39183,113.97804,815793,828078
375,22.3393,114.15251,833758,822248
376,22.30606,114.18854,837470,818567
377,22.31558,114.17094,835657,819621
378,22.36555,114.13669,832129,825155
379,22.40634,113.96271,814216,829687
380,22.28536,114.19175,837801,816275
381,22.40497,114.22333,841051,829520
382,22.2772,114.16442,834985,815371
383,22.28454,114.21196,839884,816185
384,22.29194,113.94881,812766,817021
385,22.39337,113.97583,815565,828249
386,22.28126,114.22111,840827,815822
387,22.28185,114.15309,833816,815886
388,22.31877,114.26482,845329,819977
389,22.3191,114.17147,835711,820011
390,22.3692,114.11687,830088,825560
391,22.3282,114.18885,837502,821019
392,22.45293,114.17042,835604,834831
393,22.28061,114.155,834014,815749
394,22.33503,114.16695,835246,821774
395,22.36773,114.12114,830527,825397
396,22.3004,114.17849,836435,817941
397,22.28486,114.1441,832890,816220
398,22.28671,114.2134,840032,816425
399,22.37323,114.11597,829996,826006
400,22.30954,114.22408,841132,818953
401,22.30219,114.17568,836145,818138
402,22.36919,114.11559,829956,825559
403,22.31578,114.17057,835619,819643
404,22.2783,114.18316,836916,815493
405,22.29958,114.17455,836028,817849
406,22.2777,114.1822,836817,815426
407,22.28077,114.18278,836877,815766
408,22.29795,114.17465,836039,817669
409,22.27911,114.18164,836759,815583
410,22.31781,114.16991,835551,819868
411,22.28276,114.15394,833905,815987
412,22.27969,114.18385,836987,815647
413,22.32179,114.16107,834640,820309
414,22.27555,114.17029,835590,815189
415,22.28076,114.15602,834119,815766
416,22.3027,114.17463,836036,818195
417,22.31883,114.16849,835404,819980
