, ,instrument date,district,property,floor,unit,area_sq.ft.,price,price/sq.ft.,source,e_n,long_lat
115, ,01/02/2019,Kwai Chung,"ATL-B (Asia Terminals Centre), Container Terminal 3, Kwai Chung, New Territories",13,W14-W17,10980,153720.0,@$14,Market,"(830925, 822691)","(114.125006547, 22.343295756)"
116, ,01/02/2019,Shek Mun,"No. 1, Kings Wing Plaza 2, On Kwan Street, Shek Mun, New Territories",2,217,415,16000.0,@$39,Market,"(839502.7, 827757.8)","(114.208285889, 22.389056941)"
117, ,01/02/2019,San Po Kong,"No. 0018, Lead On Industrial Building, Ng Fong Street, San Po Kong, Kowloon",8,(05),219,4300.0,@$20,Market,"(838662, 822073)","(114.20011349, 22.33772148)"
118, ,01/02/2019,San Po Kong,"No. 0018, Lead On Industrial Building, Ng Fong Street, San Po Kong, Kowloon",8,(57),283,4880.0,@$17,Market,"(838662, 822073)","(114.20011349, 22.33772148)"
119, ,01/02/2019,Cheung Sha Wan,"No. 750, Kwong Tai Factory Building, Cheung Sha Wan Road, Cheung Sha Wan, Kowloon",4,21,177,3150.0,@$18,Market,"(833621, 822183)","(114.15117913, 22.338714485)"
120, ,02/02/2019,Western,"Shop 9 on G/F, , No.0138 Third Street, Western, Hong Kong",-,-,230,11000.0,@$48,Market,"(830295, 824554)","(114.118883792, 22.360117606)"
121, ,02/02/2019,Tuen Mun,"No. 0003, Tak Wing Industrial Building, Tsun Wen Road, Tuen Mun, New Territories",20,D03,211,3800.0,@$18,Market,"(815110, 828521)","(113.971403765, 22.395821598)"
122, ,02/02/2019,Tuen Mun,"No. 0003, Tak Wing Industrial Building, Tsun Wen Road, Tuen Mun, New Territories",20,D05,269,4300.0,@$16,Market,"(815110, 828521)","(113.971403765, 22.395821598)"
123, ,02/02/2019,Tuen Mun,"No. 0003, Tak Wing Industrial Building, Tsun Wen Road, Tuen Mun, New Territories",9,A07,257,4200.0,@$16,Market,"(815110, 828521)","(113.971403765, 22.395821598)"
124, ,02/02/2019,Kwun Tong,"No. 0016, East Sun Industrial Centre, Shing Yip Street, Kwun Tong, Kowloon",3,F(11),91,3800.0,@$42,Market,"(841321, 818989)","(114.225915284, 22.309865387)"
125, ,02/02/2019,Kwun Tong,"No. 0016, East Sun Industrial Centre, Shing Yip Street, Kwun Tong, Kowloon",3,F(25),89,3400.0,@$38,Market,"(841321, 818989)","(114.225915284, 22.309865387)"
126, ,02/02/2019,Kwun Tong,"No. 0016, East Sun Industrial Centre, Shing Yip Street, Kwun Tong, Kowloon",11,A(02),120,4000.0,@$33,Market,"(841321, 818989)","(114.225915284, 22.309865387)"
