, ,instrument date,district,property,floor,unit,area_sq.ft.,price,price/sq.ft.,source,e_n
61, ,13/02/2019,Kwun Tong,"No. 0062, Capital Trade Centre, Tsun Yip Street, Kwun Tong, Kowloon",19,B,1369,28749.0,@$21,Market,"(841051, 819166)"
62, ,13/02/2019,Siu Lek Yuen,"No. 0005-0007, Shatin Industrial Centre Block B, Yuen Shun Circuit, Siu Lek Yuen, New Territories",4,5,1521,24336.0,@$16,Market,"(839287, 827253)"
63, ,13/02/2019,Siu Lek Yuen,"No. 0005-0007, Shatin Industrial Centre Block B, Yuen Shun Circuit, Siu Lek Yuen, New Territories",4,23,2280,36480.0,@$16,Market,"(839287, 827253)"
64, ,13/02/2019,Tsuen Wan,"No. 362, Fortune Commercial Building, Sha Tsui Road, Tsuen Wan, New Territories",G,10,217,23000.0,@$106,Market,"(830307, 825449)"
65, ,13/02/2019,Kwai Chung,"No. 403-413, Reason Group Tower, Castle Peak Road, Kwai Chung, New Territories",19,C,1391,23647.0,@$17,Market,"(831989, 825021)"
66, ,13/02/2019,Tsuen Wan,"No. 11, One Midtown, Hoi Shing Road, Tsuen Wan, New Territories",16,5,981,19300.0,@$20,Market,"(824155, 825435)"
67, ,12/02/2019,Yau Ma Tei,"Shop 39D on G/F, , No.0033-0039A Pitt Street, Yau Ma Tei, Kowloon",-,-,250,35000.0,@$140,Market,"(835313.46634, 819378.51716)"
68, ,28/01/2019,Mong Kok,"Shop 3 on G/F, , No.0027E Shantung Street, Mong Kok, Kowloon",-,-,300,32000.0,@$107,Market,"(835332.76957, 819798.3062)"
69, ,28/01/2019,North Point,"No. 0169, Lee & Man Commercial Center, Electric Road, North Point, Hong Kong",32,A,2740,115080.0,@$42,Market,"(831220, 825125)"
70, ,28/01/2019,Mong Kok,"No. 0008, Langham Place, Argyle Street, Mong Kok, Kowloon",15,83,345,27945.0,@$81,Market,"(835405.2, 819964.3)"
71, ,28/01/2019,Mong Kok,"No. 0107-0111, Richmond Commercial Building, Argyle Street, Mong Kok, Kowloon",6,2,649,14278.0,@$22,Market,"(835708, 820106)"
72, ,28/01/2019,Sheung Wan,"No. 0168, Shun Tak Centre, China Merchants Tower, Connaught Road Central, Sheung Wan, Hong Kong",34,7,1749,136422.0,@$78,Market,"(833760, 816519)"
73, ,28/01/2019,Causeway Bay,"No. 0555, East Point Centre, Hennessy Road, Causeway Bay, Hong Kong",19,02A,1500,75000.0,@$50,Market,"(837031, 815730)"
74, ,28/01/2019,Tsuen Wan,"No. 43-47, Lucida Industrial Building, Wang Lung Street, Tsuen Wan, New Territories",17,5,993,12710.0,@$13,Market,"(830125, 825136)"
75, ,28/01/2019,Tsuen Wan,"No. 16-26, Sunwise Industrial Building, Wang Wo Tsai Street, Tsuen Wan, New Territories",11,2,1099,12748.0,@$12,Market,"(830291, 825328)"
76, ,28/01/2019,Kwun Tong,"No. 0119-0121, Good Year Industrial Building, How Ming Street, Kwun Tong, Kowloon",5,C(08),66,2739.0,@$42,Market,"(841213, 819141)"
77, ,28/01/2019,Kwun Tong,"No. 0062, Camelpaint Building Block 1, Hoi Yuen Road, Kwun Tong, Kowloon",2,A,2942,50014.0,@$17,Market,"(841228.8641, 819081.1207)"
78, ,28/01/2019,Kwai Chung,"No. 17-23, Marvel Industrial Building B, Kwai Fung Crescent, Kwai Chung, New Territories",9,H,2949,24800.0,@$8,Land Registry,"(830872, 824118)"
79, ,28/01/2019,Tsim Sha Tsui,"Shop 44(SITE B & C) on G/F, , Park Lane Shopper's Boulevard, No.0111-0181 Nathan Road, Tsim Sha Tsui, Kowloon",-,-,683,150000.0,@$220,Market,"(835820, 817442)"
80, ,11/06/2019,Tsuen Wan,"No. 11, One Midtown, Hoi Shing Road, Tsuen Wan, New Territories",28,5,979,26000.0,@$27,Market,"(824155, 825435)"
81, ,11/06/2019,Tai Kok Tsui,"No. 9, Walnut 9, Walnut Street, Tai Kok Tsui, Kowloon",18,5,357,11000.0,@$31,Market,"(834868.3125, 820451.84375)"
82, ,11/06/2019,Kowloon Bay,"No. 0008, Kam Hon Industrial Building, Wang Kwun Road, Kowloon Bay, Kowloon",10,4,1580,18960.0,@$12,Market,"(839520, 820512)"
